benchmark,metric,value,unit
disk,seq_write_4M_qd1.bandwidth_mbps,272.594,MB/s
disk,seq_write_4M_qd1.iops,68.1486,IOPS
disk,seq_write_4M_qd1.latency_p99_us,13566,us
disk,rand_write_4k_qd16.bandwidth_mbps,21.3145,MB/s
disk,rand_write_4k_qd16.iops,5456.64,IOPS
disk,rand_write_4k_qd16.latency_p99_us,29.312,us
disk,seq_read_4M_qd1.bandwidth_mbps,53.7959,MB/s
disk,seq_read_4M_qd1.iops,13.4492,IOPS
disk,seq_read_4M_qd1.latency_p99_us,362807,us
console,bytes_per_sec_g2h,181201,B/s
console,roundtrip_latency_p50_us,0,SKIP
console,roundtrip_latency_p99_us,0,SKIP
console,roundtrip_latency_mean_us,0,SKIP
net,tcp_egress_30s.bandwidth_mbps,0,SKIP
net,tcp_ingress_30s.bandwidth_mbps,0,SKIP
